gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3815634279	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T12:2021-09-16:1:1841	Animalia	Chordata	Squamata		Phyllodactylidae	Tarentola	Tarentola mauritanica		SPECIES	Tarentola mauritanica (Linnaeus, 1758)	Tarentola mauritanica  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebuche	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.04904	-6.57253							2021-09-16T00:00:00	16	9	2021	2445034	2445034	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Rosa Arribas			2023-08-25T16:10:24.490Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634278	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T14:2021-03-03:1:1883	Animalia	Chordata	Squamata		Lacertidae	Psammodromus	Psammodromus algirus		SPECIES	Psammodromus algirus (Linnaeus, 1758)	Psammodromus algirus  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Cuesta Maneli	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.07211	-6.68846							2021-03-03T00:00:00	3	3	2021	2469763	2469763	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Roman			2023-08-25T16:10:24.490Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634277	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T14:2021-03-03:1:1885	Animalia	Chordata	Squamata		Lacertidae	Psammodromus	Psammodromus algirus		SPECIES	Psammodromus algirus (Linnaeus, 1758)	Psammodromus algirus  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Cuesta Maneli	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.07081	-6.68808							2021-03-03T00:00:00	3	3	2021	2469763	2469763	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Roman			2023-08-25T16:10:24.489Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634276	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T17:2018-06-11:1:1579	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Sabinar Ojillo	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.01203	-6.50612							2018-06-11T00:00:00	11	6	2018	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:24.488Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634275	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T5:2010-10-06:2:1294	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Nave Carbonera	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	36.93303	-6.46636							2010-10-06T00:00:00	6	10	2010	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:24.486Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634274	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T5:2010-10-06:2:1295	Animalia	Chordata	Squamata		Lacertidae	Acanthodactylus	Acanthodactylus erythrurus		SPECIES	Acanthodactylus erythrurus (Schinz, 1833)	Acanthodactylus erythrurus (Schinz, 1833)	(Schinz, 1833)	ES	Nave Carbonera	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	36.93757	-6.47026							2010-10-06T00:00:00	6	10	2010	5226733	5226733	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:24.487Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634273	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T14:2017-09-14:1:1258	Animalia	Chordata	Squamata		Lacertidae	Acanthodactylus	Acanthodactylus erythrurus		SPECIES	Acanthodactylus erythrurus (Schinz, 1833)	Acanthodactylus erythrurus (Schinz, 1833)	(Schinz, 1833)	ES	Cuesta Maneli	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.07484	-6.68893							2017-09-14T00:00:00	14	9	2017	5226733	5226733	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:24.487Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634272	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T5:2016-04-28:1:1365	Animalia	Chordata	Squamata		Lacertidae	Acanthodactylus	Acanthodactylus erythrurus		SPECIES	Acanthodactylus erythrurus (Schinz, 1833)	Acanthodactylus erythrurus (Schinz, 1833)	(Schinz, 1833)	ES	Nave Carbonera	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	36.91277	-6.4471							2016-04-28T00:00:00	28	4	2016	5226733	5226733	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:24.455Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634271	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T12:2021-09-16:1:1835	Animalia	Chordata	Squamata		Phyllodactylidae	Tarentola	Tarentola mauritanica		SPECIES	Tarentola mauritanica (Linnaeus, 1758)	Tarentola mauritanica  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebuche	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.0494	-6.57012							2021-09-16T00:00:00	16	9	2021	2445034	2445034	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Rosa Arribas			2023-08-25T16:10:24.459Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815634270	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T12:2021-09-16:1:1833	Animalia	Chordata	Squamata		Phyllodactylidae	Tarentola	Tarentola mauritanica		SPECIES	Tarentola mauritanica (Linnaeus, 1758)	Tarentola mauritanica  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebuche	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.04985	-6.56923							2021-09-16T00:00:00	16	9	2021	2445034	2445034	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Rosa Arribas			2023-08-25T16:10:24.461Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
